name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,car_age,brand,model_family,km_per_year,name_frequency
Maruti 800 AC,2007,60000,70000,Petrol,Individual,Manual,First Owner,13,Maruti,Maruti 800,5384.615384615385,20.0
Maruti Wagon R LXI Minor,2007,135000,50000,Petrol,Individual,Manual,First Owner,13,Maruti,Maruti Wagon,3846.153846153846,21.0
Hyundai Verna 1.6 SX,2012,600000,100000,Diesel,Individual,Manual,First Owner,8,Hyundai,Hyundai Verna,12500.0,13.0
Datsun RediGO T Option,2017,250000,46000,Petrol,Individual,Manual,First Owner,3,Datsun,Datsun RediGO,15333.333333333334,5.0
Honda Amaze VX i-DTEC,2014,450000,141000,Diesel,Individual,Manual,Second Owner,6,Honda,Honda Amaze,23500.0,7.0
Maruti Alto LX BSIII,2007,140000,125000,Petrol,Individual,Manual,First Owner,13,Maruti,Maruti Alto,9615.384615384615,8.0
Hyundai Xcent 1.2 Kappa S,2016,550000,25000,Petrol,Individual,Manual,First Owner,4,Hyundai,Hyundai Xcent,6250.0,4.0
Tata Indigo Grand Petrol,2014,240000,60000,Petrol,Individual,Manual,Second Owner,6,Tata,Tata Indigo,10000.0,2.0
Hyundai Creta 1.6 VTVT S,2015,850000,25000,Petrol,Individual,Manual,First Owner,5,Hyundai,Hyundai Creta,5000.0,2.0
Maruti Celerio Green VXI,2017,365000,78000,CNG,Individual,Manual,First Owner,3,Maruti,Maruti Celerio,26000.0,1.0
Chevrolet Sail 1.2 Base,2015,260000,35000,Petrol,Individual,Manual,First Owner,5,Chevrolet,Chevrolet Sail,7000.0,3.0
Tata Indigo Grand Petrol,2014,250000,100000,Petrol,Individual,Manual,First Owner,6,Tata,Tata Indigo,16666.666666666668,2.0
Toyota Corolla Altis 1.8 VL CVT,2018,1650000,25000,Petrol,Dealer,Automatic,First Owner,2,Toyota,Toyota Corolla,12500.0,1.0
Maruti Ciaz VXi Plus,2015,585000,24000,Petrol,Dealer,Manual,First Owner,5,Maruti,Maruti Ciaz,4800.0,1.0
Hyundai Venue SX Opt Diesel,2019,1195000,5000,Diesel,Dealer,Manual,First Owner,1,Hyundai,Hyundai Venue,5000.0,2.0
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,390000,33000,Diesel,Individual,Manual,Second Owner,7,Chevrolet,Chevrolet Enjoy,4714.285714285715,1.0
Jaguar XF 2.2 Litre Luxury,2014,1964999,28000,Diesel,Dealer,Automatic,First Owner,6,Jaguar,Jaguar XF,4666.666666666667,1.0
Mercedes-Benz New C-Class 220 CDI AT,2013,1425000,59000,Diesel,Dealer,Automatic,First Owner,7,Mercedes-Benz,Mercedes-Benz New,8428.57142857143,2.0
Maruti Vitara Brezza ZDi Plus AMT,2018,975000,4500,Diesel,Dealer,Automatic,First Owner,2,Maruti,Maruti Vitara,2250.0,2.0
Audi Q5 2.0 TDI,2011,1190000,175900,Diesel,Dealer,Automatic,First Owner,9,Audi,Audi Q5,19544.444444444445,3.0
Honda City V MT,2018,930000,14500,Petrol,Dealer,Manual,First Owner,2,Honda,Honda City,7250.0,2.0
Tata Tigor 1.2 Revotron XT,2018,525000,15000,Petrol,Individual,Manual,First Owner,2,Tata,Tata Tigor,7500.0,3.0
Audi A6 2.0 TDI Design Edition,2013,1735000,50000,Diesel,Dealer,Automatic,First Owner,7,Audi,Audi A6,7142.857142857143,2.0
Mercedes-Benz New C-Class C 220 CDI Avantgarde,2012,1375000,33800,Diesel,Dealer,Automatic,Second Owner,8,Mercedes-Benz,Mercedes-Benz New,4225.0,1.0
