feature,category,count,mean,median
fuel,CNG,37,273162.08108108107,229999.0
fuel,Diesel,1800,614001.075,475000.0
fuel,Electric,1,310000.0,310000.0
fuel,LPG,22,171818.13636363635,180000.0
fuel,Petrol,1717,335344.34012813045,260000.0
seller_type,Dealer,712,652699.3904494382,484999.0
seller_type,Individual,2832,424904.02436440677,303500.0
seller_type,Trustmark Dealer,33,822272.7272727273,750000.0
transmission,Automatic,312,1274955.1057692308,855000.0
transmission,Manual,3265,397365.7488514548,325000.0
owner,First Owner,2218,565385.4472497746,450000.0
owner,Fourth & Above Owner,75,181213.29333333333,138000.0
owner,Second Owner,978,341954.1400817996,267000.0
owner,Test Drive Car,17,954293.9411764706,894999.0
owner,Third Owner,289,266142.20761245675,190000.0
